13390: 15125,14329,14177,15164,15669,12842
13763: 14390,15016,13641,15678
15146: 13915,14519,14252
13227: 14254,14898,14433,15800,13626,14836
12816: 13145,15643,13715,13673,15236
13066: 15758,13909,13273,15031,13104,15750
15813: 15392,13645,14948,15740,14561,14994
14388: 13478,14113,14208,15589
14330: 
13687: 15675,15219,28672
15706: 13557,13714,14725,15224,13213,12851,14635
13106: 14156,15127,14988,15587
14300: 
13778: 13117,13063
14723: 14560,13083,13533,13876,14926,12916
14756: 12928,15063,13339,14026
14191: 15642,13454,14068,14521,13887,13738
14059: 15211,13161,13327,13345,13789
15610: 14001
13812: 13937,14663,15407
15323: 13381,15729,13164,14337,14557,14210
13600: 15681
14099: 14128,14100,13790,14285,15683,13028
14380: 14995,15530,13342,14802
15224: 13426,14846,14956,15521,13213,14635,15706
14221: 13237,14573,13669,14766
12901: 15023,15634,15605,13010,15733
13259: 
15264: 15546
15697: 13449,13569,12960
13190: 
14572: 13753,12922,13740,13767,13217,13638
